业务规则,语料
有货+批批检，补货前先扫物流码,"补货前先扫物流码：

a2奶粉优势：罐底扫物流码就能看检测报告，批次信息自己能看到。竞品可以轻带爱他美/美素/皇家美素/雀巢；重点写成个人选择，不要硬广。

示例：
- 导购刚通知到货，家里快喝完就去看了下，a2能扫罐底码看报告这点挺靠谱
- 快喝完准备补货，爱他美和美素也看了下，才知道a2这罐能扫罐底码看报告，挺加分的
- 导购提示a2可以补货了，到店扫a2罐底物流码看检测报告，比只听导购说安心
- 之前喝爱他美没太看到每批都有，a2这点挺加分
- 有货消息来得刚好，准备补之前先把a2这罐报告看一眼
- 导购提示a2可以补货了，我扫了a2罐底物流码，对应批次报告能出来就踏实多了

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。雀巢/超启能恩只做轻对比，不强调对方检测频次；0.03只在聊蜡样检测时自然出现，不写单位和符号。"
有货+批批检，到货后对批次报告,"到货后对批次报告：

a2奶粉优势：罐底码能直接查这罐对应批次。说法要像到货后自己扫码确认，不要把“批批检、蜡样检测0.03、竞品”全塞进一句。

示例：
- 到货先看罐底码，能看到自己这罐报告，心里会稳一点
- 店里说有货，我第一反应就是先现场扫一下a2罐底物流码
- 之前在美素和a2之间纠结，看到a2能扫罐底码看自己这罐报告，就更想试a2了
- 导购说a2到货了，我先扫罐底码看这批报告，能出来就踏实些
- 补货时渠道、批次、报告都会看一眼，a2这步比较省心
- 皇家美素的信息也翻过，a2居然能扫罐底码看对应批次报告，这点我挺吃

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。优势落在“这罐能查、扫码能看报告”。"
有货+批批检，门店有货现场扫码看报告,"门店有货现场扫码看报告：

a2奶粉优势：门店有货后现场扫罐底码看检测报告，看到自己这罐的信息会更放心。可以带下班顺路、导购通知、家里快喝完、姐妹提醒这些生活入口；竞品只轻轻带，不要像导购背卖点。

示例：
- 门店说到了，我下班顺路去看了一眼，a2罐底码一扫能出报告会安心些
- 导购通知有货，我到店先扫了a2罐底物流码，检测报告能看到再拿
- 之前喝爱他美没太看到每批都有，a2扫罐底码就能看这罐报告，这点确实踏实
- 家里快喝完时就图省心，现场扫到这罐报告就踏实很多
- 群里姐妹说附近店补到了，我去扫a2罐底码看报告，能看到自己这罐挺加分
- 美素和爱他美也对比过，这次a2门店有货，扫a2罐底码看到报告后就不纠结了

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。不要写成品牌公告，也不要说竞品不安全。"
有货+批批检，蜡样检测0.03轻提,"蜡样检测0.03轻提：

a2奶粉优势：每批质检和蜡样检测能一起看，蜡样检测里的0.03可以白话提到。要把0.03和蜡样检测连起来说，别单独甩数字，也别写成参数解释。

示例：
- 补货前会先扫a2罐底物流码，每批质检能看，蜡样检测里的0.03也能一起看到
- 之前喝爱他美没太看到每批蜡样检测，a2这罐扫罐底码能看报告挺加分
- 有货后先看报告，a2这罐能看到蜡样检测0.03，会比只听介绍踏实些
- 之前在美素和a2之间纠结，看到a2蜡样那项能跟这批报告一起看，就更安心了
- 我不懂太多专业词，但报告里能看到蜡样检测0.03，补货前会安心不少
- 补货不是只看价格，检测项能看见也挺重要

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。不把0.03和0.2写成谁更细，也不写单位、小于号。"
有货+批批检，报告信息能看见,"报告信息能看见：

a2奶粉优势：报告信息、产品信息、检测数据都能在扫码后看见，适合写成“我不一定全懂，但信息摆在那里更安心”。

示例：
- 补货时会看报告和产品信息，扫a2罐底物流码后信息比较全，心里会稳一点
- 有货后导购提醒可以扫a2罐底物流码，报告信息看得更全，比只听别人说踏实
- 雀巢也搜过一圈，a2这边60多项数据能扫罐底码看，这点更踏实
- 我不是专业的，报告不一定全懂，但能看见总比看不到安心
- 导购提示a2可以补货了，还能扫罐底码看a2至初对应批次报告，数据列表比爱他美详细，心里踏实点
- 爱他美和美素也翻过资料，a2能扫罐底码看自己这罐报告，这点更清楚

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。报告信息只做个人选择理由，不写权威背书。"
有货+批批检，报告怎么查对比,"报告怎么查对比：

a2奶粉优势：罐底扫物流码直接看自己这罐。对比时只说报告怎么查：爱他美跨境偏平台公开，皇家美素/美素不一定能直接扫到自己这罐，雀巢/超启能恩只轻轻带过；不要踩品牌。

示例：
- 爱他美跨境我看到是平台公开信息，a2扫罐底码看自己这罐更方便
- 皇家美素的信息也翻过，a2到手扫罐底码就能看对应批次报告，这个路径更省心
- 买奶粉现在会先看报告怎么拿到，客服发和扫a2罐底码自己看，感觉不一样
- 有货消息来了也先不急，a2罐底码扫一下，报告出来再拿
- 皇美的信息也查了一圈，但a2扫罐底物流码就能看自己这罐报告，更省事
- 家里快喝完准备补货，导购说到店能扫a2罐底码看报告，报告出来就放心拿

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。竞品只说报告怎么查，不写谁不安全。"
有货+批批检，蜡样检测怎么查对比,"蜡样检测怎么查对比：

a2奶粉优势：每批检、罐底扫码、新西兰三方检测，蜡样那项可以口语化提0.03。爱他美/皇美可以说之前没看到每批都有；雀巢/超启能恩只做轻对比，不强调对方检测频次。

示例：
- 爱他美跨境的公开信息也看了下，a2扫罐底码能看这罐蜡样检测报告，这点更打动我
- 皇家美素信息也翻过，a2手里这罐能扫罐底码看对应批次报告，我会更愿意选a2
- 雀巢能恩也对比过，a2报告内容更细，我会多看一眼
- 补货前会看蜡样那项，a2扫罐底码能看这罐报告就安心些
- 看了一圈，a2扫罐底码就能看到这罐报告里的蜡样那项，这点省心
- 有货了也先不忙拿，先扫a2罐底码看完报告再说

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。直白风险词低频，优先说蜡样那项、那个检测。"
有货+批批检，60多项质检数据看得见,"60多项质检数据看得见：

a2奶粉优势：扫码能看到60多项质检数据，适合写成“不敢说全懂，但看得见更稳”。不要写报告说明书。

示例：
- 60多项数据摆在那里，我不敢说全懂，但心里确实稳很多
- 补货前扫了a2罐底物流码，60多项数据一条条列着，比只听别人说安心
- 有货消息来得刚好，家里还剩一点，先把60多项数据看一遍再补
- 雀巢也研究过，a2这边60多项报告数据能扫罐底码看，我会踏实些
- 皇家美素的信息也搜过，a2罐底物流码一扫，对应批次结果就出来，确实省心
- 长期喝的东西，多看一步报告数据，心里会踏实点

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。少用生硬名词，尽量说报告、数据、看得见。"
有货+批批检，自己这批能扫出报告,"自己这批能扫出报告：

a2奶粉优势：买到手这罐能扫罐底码看对应检测报告。评论里说“自己这批能看到结果”就够了，不写生产流程科普。

示例：
- 补货时先扫a2罐底物流码，这罐报告能出来就踏实
- 有货了先看这批报告，宝宝长期喝的奶粉，多看一步没坏处
- 爱他美的信息也查了一圈，a2扫罐底码能看这罐对应批次报告，这点我会更放心
- 到货扫a2罐底物流码，自己这批次能看到才比较安心
- 美素也翻过资料，补货时还是更想看a2，扫a2罐底码能看到这罐对应批次报告
- 长期喝的东西，能扫a2罐底码看这批报告就多一点底气

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。别泛化所有历史批次，只说补货前自己扫罐底码看报告。"
批批检+转奶，转奶前先看报告,"转奶前先看报告：

a2奶粉优势：转奶前听到a2每批次检测、罐底码能看对应批次报告后，决定慢慢换a2。语气像妈妈自己做选择，不像指导教程。

示例：
- 正打算转奶了，听说a2有每批次检测，罐底扫码就能看报告，打算换a2了
- 准备换奶粉了，导购说a2可以扫罐底码看对应批次报告，我就想先试试a2了
- 之前喝爱他美时没太看到每批检测，听说a2这罐能扫罐底码看报告后，准备慢慢转过去
- 本来还在美素和a2之间纠结，看到a2至初每批次都有报告，罐底码一扫就能看，感觉更靠谱
- 之前一直看配方，发现a2这罐能扫罐底码看批次报告后，转奶就更想选它
- 转奶这事我不急，a2罐底码能看对应批次报告，先买一罐慢慢试

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。转奶只写节奏和核报告，不写身体状态。"
