# 导出自：UGC
# 导出时间：2026/6/3 14:50:19
# 第一列：标题要求
# 第二列：语料
# 可直接用于“导入子关键词”功能
标题要求,语料
UGC通用-final,"## 标题规则
随手想个标题！标题字数5-16个字左右。
标题和正文可以有关联，也可以没有。
符合真实用户随意起标题的特点。
不要只用“喂奶观察记录/随手记录/复盘/分享”这类抽象概括式标题。优先带真实体验感，可以使用“真实感受、真实体验、纯分享、不吹不夸、只说大实话、真心话、血泪经验、后续、记录、喝了X个月、回购N次”等表达，但不要每篇都写“真实分享”，避免同质化。"
UGC通用-final,"## 标题规则
随手想个标题！标题字数10-18个字左右。
标题和正文要有关联。
符合真实用户随意起标题的特点。
避免使用'记录'、'观察'、'分享'等书面化词汇，标题应像随手写下的生活片段，可包含具体动作或感受。
标题可适当加入具体宝宝状态或妈妈身份，不要只写泛泛的“宝宝”“妈妈”。优先使用有生活感的人群词，例如：二胎妈妈、家有瘦娃、玻璃胃娃、敏感肚宝宝、肚弱宝、小豆芽、睡渣、转奶宝宝等。"
UGC通用-final,"## 标题规则
随手想个标题！标题字数10-18个字左右。
标题和正文要有关联。
符合真实用户随意起标题的特点。
避免使用'记录'、'观察'、'分享'等书面化词汇，标题应像随手写下的生活片段，可包含具体动作或感受。
标题可以围绕“问题前后变化”来写，用结果感词汇增强吸引力，例如：终于、转对了、成功转奶、成功上岸、后悔没早点、早遇到就好了、告别、摆脱、搞定、逆袭成功、安心了、省心太多等。"
UGC通用-final,"## 标题规则
随手想个小红书网感标题！标题字数5-16个字左右。
标题可加入小红书常见情绪用词，例如：终于、救大命、后悔没早点、真香、太香了、泪目、整服了、有点东西、神了、还好有它、不交学费了"
UGC通用-final,"## 标题规则
随手想个小红书网感标题！标题字数5-16个字左右。
标题可加入小红书常见消费决策词，例如：本命奶粉、口粮、维稳口粮、兜底、回购、囤上了、闭眼入、入股不亏、直接抄作业、被问爆、风很大、求反馈、怎么样、合适不、要不要纠结"
UGC-真实反馈,"## 标题结构
标题重点不是强推荐，而是像用户在记录自己感受。
标题字数16个字以内。"
UGC-真实反馈,"## 标题结构
前后对比，体现反差。
标题字数18个字以内。"
UGC-真实反馈,"## 标题要求
围绕宝宝具体喂养困扰来写标题。每次生成的标题都要不一样。
标题先抓住妈妈最在意的问题，再自然引出选奶或产品。
标题字数18个字以内。"
UGC-真实反馈,"## 标题要求
精准人群共情，围绕具体妈妈身份或宝宝类型来写标题，比如：xx妈或者xx娃。
标题要让同类人群一眼觉得“这说的就是我家娃/这就是我”。
标题字数18个字以内。"
UGC-真实反馈,"## 标题结构
带一些宝宝的日常瞬间。
标题字数18个字以内。"
UGC-真实反馈,"## 标题要求
过来人真心话风，加一些情绪反差，适合小红书风格。
标题字数18个字以内。"
UGC-真实反馈,"## 标题要求
痛点+解决方法。适当的使用｜分隔。
标题和正文要有关联。
短句干净、高级感、不啰嗦
标题字数必须18 字以内"
UGC-真实反馈,"## 标题结构
直白走心推荐，因为觉得确实好。加入表情符号，增强情绪化。
标题字数16个字以内。"
