业务规则,语料,评论示例,评论补充
已购，品牌忠实老客，便便问题,"品牌忠实老客-便便问题-规律省心：

像老客在评论区随手补一句臭臭节奏。生成时先抽一个观察点，再换入口：今天记录、半夜看纸尿裤、跟姐妹接话、松口气、轻吐槽都可以。别每条都写“每天一次”或“香蕉便”，也别写成固定医学标准。

示例：
- 今天这包纸尿裤看着还行
- 臭臭不费劲，我就少猜了
- 隔天来也行，娃没憋红脸
- 早上拉完那顿奶都香
- 家里不用天天围着臭臭转
- 混合喂后节奏没乱
- 颜色偶尔变点，我先看状态
- 这几天纸尿裤没吓人

注意：示例只作为语义素材，不是正文原句。生成时换观察点、入口和句式，别把“挺/顺/稳”当默认收尾。",,
已购，品牌忠实老客，便便问题,"品牌忠实老客-便便问题-肠胃友好不上火：

肠胃友好、不上火、肚肚敏感、喝完折腾少一点都可以轻带。入口可以从嘴巴、屁屁、纸尿裤、饭后状态、妈妈松口气这些小细节发散，别套固定产品名加状态的句式，也别把不上火写成绝对保证。

示例：
- 我家肚肚敏感，先小半勺试
- 喝完没闹很久，我就知足
- 嘴巴没干得吓人
- 拉臭臭没硬到哭
- 上火这事我就看纸尿裤
- 饭后不扭来扭去，舒服点
- 同款，我家慢慢加量的
- 肚子安静时全家都松口气

注意：示例只作为语义素材，不是正文原句。生成时换观察点、入口和句式，别把“挺/顺/稳”当默认收尾。",,
已购，品牌忠实老客，便便问题,"品牌忠实老客-便便问题-不拉肚子和拉屎轻松：

没稀、没硬、拉的时候不费劲、偶尔频率有点波动都能写，停在日常观察就好。入口可以是擦屁屁、看纸尿裤、转奶几天、姐妹接话，别写成治疗腹泻或便秘，也别每条都从“不拉肚子”开头。

示例：
- 擦屁屁那下就知道没那么硬
- 没稀到我慌，已经可以了
- 拉的时候没憋到爆哭
- 偶尔隔一天，也没难受
- 前两天有点乱，后面自己回来了
- 不像硬小球了，轻松些
- 纸尿裤颜色正常我就安心
- 转过来没闹肚子，我先放心

注意：示例只作为语义素材，不是正文原句。生成时换观察点、入口和句式，别把“挺/顺/稳”当默认收尾。",,
已购，品牌忠实老客，奶量补充,"品牌忠实老客-奶量补充-接受度与转奶状态：

语气像老客接话，可以带味道、第一口、奶瓶剩余、混合转奶、升段和小半罐过渡。入口可以从自己尝、夜奶、怕不喝、跟帖接话发散，别总写“没抗拒”或“咕咚咕咚”。

示例：
- 我偷尝过，确实不是甜腻那种
- 第一口犹豫了下，后面自己喝
- 奶瓶最后几口也没剩
- 混着转那几天我都盯着看
- 升段时小半罐慢慢接
- 夜里那顿没跟我拉扯
- 挑嘴娃能入口我就谢天谢地
- 刚开始少量加，没急着全换

注意：示例只作为语义素材，不是正文原句。生成时换观察点、入口和句式，别把“挺/顺/稳”当默认收尾。",,
已购，品牌忠实老客，奶量补充,"品牌忠实老客-奶量补充-奶量变化：

像老客聊奶量和喝奶状态，数字可有可无。可以从奶瓶剩余、睡前那顿、加勺、喂完找奶嘴、体重和精神头这些观察点切入，别每条都写成“从X到Y”。

示例：
- 最近瓶底剩得少了
- 睡前那顿终于不磨人
- 有时喝完还找奶嘴
- 我家是慢慢多半勺那种
- 奶量没突然飞，但比前阵好
- 辅食后那顿也能接上
- 称体重时我心里踏实点
- 奶瓶空得快，喂奶没那么拉扯
- 大月龄那阵能多喝些

注意：示例只作为语义素材，不是正文原句。生成时换观察点、入口和句式，别把“挺/顺/稳”当默认收尾。",,
已购，品牌忠实老客，过敏相关,"品牌忠实老客-过敏相关：

像敏宝家庭的换奶经历和评论区共鸣。语气像老客接话，别写成科普或疗效承诺，也别都围着湿疹写。

示例：
- 敏宝妈妈真的懂，脸上起一点我都紧张
- 我家也是湿疹反复，后来才想到可能跟奶粉有关
- 湿疹那会儿真的崩溃，能缓过来就很知足
- 懂你！敏宝老母亲才懂，还好遇见了源悦😭
- 我家也是换了源悦才消停，现在皮肤好也长肉
- 敏宝自救路太难了，换了源悦总算熬出头，加油
- 喝了荷兰版美素佳儿很好，一点问题没有，还便宜

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
已购，品牌忠实老客，过敏相关,"品牌忠实老客-过敏相关-口粮稳定：

像老客在评论区安慰敏宝家长

示例：
- 敏宝选口粮真是操碎了心
- 一路摸爬滚打过来的，敏宝能喝得稳比啥都强。
- 敏感宝宝真的只有当妈妈的知道多难，还好有源悦
- 我家也是敏宝，这条路很难，好在换源悦后已经好转了，一起加油
- 我家的之前也是喝水解，现在正在考虑换啥
- 妈呀，同款敏宝，奶量差，真的哭了
- 换奶后观察了一周，目前还行
- 敏感宝宝换奶真不敢急，这款目前没翻车
- 不敢说就一定行，至少这几天没怎么反复
- 换回来以后脸蛋安分些，暂时不折腾了

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。",,
已购，品牌忠实老客，生长发育,"品牌忠实老客-生长发育-体感外观：

只写老客从日常照看里观察到的长势变化。
句子短一点，像评论区顺手接话，不写成科普，不写功效承诺。

示例：
- 同款，我家宝宝都被喂胖了
- 我们喂这长势长肉都还不赖嘞
- 长肉也看得见，抱起来越来越沉
- 一直喝源悦，娃长得很壮实
- 宝宝喝了长肉了
- 也是这个，长肉蛮明显的
- 不错！！我们转来这段时间小脸都肉乎不少
- 确实是长肉，我们家看着身上胖了一圈
- 我们也转来在喝了，长势蛮明显的老实说
- 肚肚舒服了，自然就爱吃饭、长肉肉了
- 源悦确实不错，我家娃能吃能长，便便也顺

注意：
示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。
补充示例可以提供生活细节，但生成重点仍然必须落在长势、长肉、外观变化或体感变化上。
同一批里不要连续使用“抱起来沉”“小脸肉乎”“长肉明显”这几个相近表达。",,
已购，品牌忠实老客，生长发育,"品牌忠实老客-生长发育-身高体重：

只写老客的轻反馈。不要全提“身高体重”。
语气克制，像评论区顺手分享，不写保证长高长肉，不写夸张承诺。

示例：
- 我家混合喝的源悦 很长肉 长个
- 我家也是，身高长得挺好的，就没换奶
- 喝这款后奶量还可以，长的不错
- 我们挺长肉的
- 我觉得挺长的，我家娃生长曲线蛮漂亮的
- 这个挺长肉，我家现在身高体重都是在基础线上的
- 我家体重在中上游，很省心
- 快四个月20斤，特长肉
- 我们一直喝，体重身高标准，大便正常
- 这款是肠胃消化，可以增加宝宝代谢

注意：
示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。
补充示例可以提供生活细节，但生成重点仍然必须落在身高、体重、长个、曲线或阶段长势上。
避免固定生成“喝了X个月，体重涨X斤”“抱起来重了”“小脸圆了”这类单一模板。",,
已购，品牌忠实老客，消化吸收,"品牌忠实老客-消化吸收：

只写生活观察。可以有不确定感，别写成确定功效。

示例：
- 这款喝着还可以，肚子没怎么闹
- 新生儿还是按体重喂，别一下喂太多
- 我家喝着消化吸收都不错
- 娃目前转的也是源悦，消化上倒是过得去
- 源悦我家宝宝也在吃，消化上我不担心的
- 吸收看着还行，脸上慢慢有肉了
- 转得还算顺，没用太多花里胡哨的方法
- 肚子不闹的时候，喝奶都顺些
- 我家肠胃不好，喝的这个
- 从二段到三段喝下来，吐奶没怎么折腾
- 肠胃弱一点的娃，真得慢慢试

注意：示例只作为语义素材，不是正文原句。生成时必须重新组织表达，禁止照搬原句、固定数字、固定时间、固定程度词和原有句式。",,
