# 导出自：剧情讨论,
# 导出时间：2026/6/4 13:59:49,
# 第一列：业务规则,
# 第二列：语料,
# 可直接用于“导入子关键词”功能,
业务规则,语料
业务规则-剧情讨论,"剧情事实答复型：

像宝妈在评论区接着聊第3集剧情，先回应小奶宝有没有找到妈妈这类问题。看到结局就写清楚“找到了/团聚了”，但每条都要顺一笔妈妈准备补货前问活动、下班路过门店看看，或到店按活动补货续奶粉，不能只停在纯剧情问答。别把已知答案又写成“找到没”，也别写成孩子知道门店活动；可以少量写“同款对讲机”，但不要每条都落到这个词。

示例：
- 找到了，第3集中间就和妈妈团聚了，我准备补货前顺路问问活动
- 第3集往后看，小奶宝有找到妈妈，我下班顺路去门店把奶粉续上
- 我家也是一直被问，看到团聚才消停，家里快喝完正好去店里续上
- 找妈妈这条线最后是团聚了，我准备补货前先问问店里还有没有周边
- 奶宝找到妈妈以后我家才安静下来，我去门店按活动把奶粉补上
- 这集主要就是找妈妈，我家看到团聚才不念叨，我也顺手问了门店活动
- 先回你一句，找到了，我下班顺路去门店续奶粉时瞅瞅活动

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。遇到上文已经问“找到妈妈没”，优先回答剧情事实，再由妈妈轻带活动或周边；不要只写剧情事实，不要把“第三集中间已找到妈妈”改写成仍在寻找，也不要写成孩子知道店里买4罐加赠对讲机。"
业务规则-剧情讨论,"对讲机活动&玩法想象型：

像宝妈被娃看完山洞求援、通讯器呼叫、巴克队长远程指挥这些剧情带动，再由妈妈侧接到活动信息。未到店/补货前/去店前可以写问店员、怕跑空、去看看还有没有；已经补货或买4罐时可以写按活动补货、续奶粉、带够4罐，少量写领到定制对讲机。重点接孩子想玩剧情里的呼叫队友、救援行动、秘密侦探、小区巡逻、城堡守卫、寻宝行动、电影模拟，再自然带到妈妈补货前去门店瞅瞅或到店补货；不要写成孩子知道门店买4罐加赠对讲机，也不要写成买4罐送对讲机，不要写“确认那套对讲机”。

示例：
- 山洞求援那段娃也开始学呼叫队友了，我准备补货前先问店里还有没有
- 按活动带够4罐刚好把奶粉补上，也接得上帮小奶宝找妈妈那集
- 这次四罐一起带有一套定制对讲机，娃拿回家应该能演互相喊话那种救援
- 娃看完通讯器呼叫支援那段，已经在家演救援行动了，我到店顺手把奶粉续上
- 凑够活动门槛加赠的定制对讲机，小朋友拿回家玩小区巡逻、秘密侦探会不会还挺上头
- 我家看完山洞求援以后天天演找队友寻宝，家里快喝完就顺路去店里看活动
- 家里刚好要补货，下班顺路去门店瞅瞅，正好把奶粉续上

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。活动信息优先写妈妈补货、路过门店、问店员、宝妈群知道；未到店可以写问问、看看、怕跑空，已补货或买4罐优先写去门店补货/续奶粉/按活动带够4罐，少量写领到定制对讲机。款式事实可以在需要时写巴克队长&艾尔博士款，也可以少量写同款对讲机、那套对讲机；别写成孩子知道活动机制或主动要门店赠品，也别写成已经补货了还只是顺手看看有没有对讲机周边。"
业务规则-剧情讨论,"已囤已领反馈型：

像已经去门店参加活动的宝妈回来反馈，重点写家里刚好快喝完、顺路去门店、到店按活动带够4罐，在独家IP周边基础上加赠海底小纵队定制对讲机1套，娃回家玩得开心。款式可以偶尔写巴克队长&艾尔博士款、巴克队长款、艾尔博士款，也可以写定制对讲机或这套周边；少写付款后才发现的桥段，多写到店后领到/带回。

示例：
- 昨天去门店把奶粉续上，按活动领到一套定制对讲机，娃回家就开始呼叫巴克队长
- 你们也是家里快喝完才去的吗？我刚好赶上活动，巴克队长&艾尔博士这套比普通小玩具更贴剧情
- 在店里四罐一起带，还加赠海底小纵队定制对讲机，拿回来以后娃开始演山洞求援那段
- 我这边补货时拿到的是巴克队长&艾尔博士款，娃回来一会儿呼叫支援一会儿寻宝
- 本来只是去续奶粉，凑够活动门槛还加赠对讲机，才想起娃最近一直演通讯器求援
- 我家看完帮小奶宝找妈妈那集正上头，拿到定制对讲机后，晚上又把剧情演了一遍
- 盲盒也挺吸引小朋友，但我家这次最喜欢的还是对讲机，拿回家一会儿小区巡逻一会儿城堡守卫

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。已购反馈要自然，不要夸张库存紧张，也不要出现具体门店名。不要高频写付款后才发现赠品，也不要只写“囤了4罐顺手拿到”。"
业务规则-剧情讨论,"闺蜜宝妈群消息型：

像宝妈从闺蜜、宝妈群、小区妈妈那里听到活动消息后，在评论区接话或提醒。重点写别人提到活动、自己补货前去看看、怕跑空先问问、约朋友一起去门店；对讲机活动事实按确定口径写：购买4罐，在独家IP周边基础上加赠海底小纵队定制对讲机1套，不写成买4罐送。可以提娃看完帮小奶宝找妈妈、山洞求援后的念叨，也可以少量说同款对讲机、那套对讲机、活动还在不在，但消息感不要盖过剧情入口，别批量都用同一说法。

示例：
- 宝妈群里有人提到活动了，我家刚看完山洞求援那段，补货前也去看看
- 闺蜜说她到店按活动补了奶粉，我们准备约着一起去店里看看
- 群里晒的是四罐活动加赠对讲机，我家娃刚好还在演呼叫支援，我准备补货前问问
- 我朋友上周拿到定制对讲机，说她家娃回家一直演呼叫支援，我这边补货前也先打听下
- 小区妈妈说四罐活动加赠的是巴克队长和艾尔博士款，我家刚看完山洞求援，应该会很喜欢
- 群里有人晒对讲机，说比盲盒更贴第3集，我家正好补货，想去瞅瞅还有没有
- 明天下班想顺路去门店看看，家里刚好快喝完了，先把奶粉续上

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。这个方向重点写社交消息和妈妈被提醒去看活动，但不要每条都像广告通知。未到店时可以写“群里说快没了”“怕跑空先问问”“明天去看看”，但不要只用模糊剧情指代；已补货或已买4罐时，要写成领到/带回1套定制对讲机。款式事实可用巴克队长&艾尔博士款、巴克队长款对讲机、艾尔博士款对讲机、定制对讲机等说法轮换，不要只写成缺少“款”字的巴克队长对讲机，也不要截断成对讲。"
业务规则-剧情讨论,"到店问询&顺路补货型：

像宝妈被剧情带起兴趣后，把话自然转到补货前去门店问活动、下班顺路看看、怕跑空先确认、约朋友一起去。这个方向不需要每条都复盘动画，给一个轻剧情锚点就够了，重点是妈妈侧的到店动作；别写成品牌公告，也别写成孩子知道买4罐加赠。

示例：
- 娃看完山洞求援一直演呼叫队友，我准备下班顺路去门店瞅瞅还有没有
- 家里刚好快喝完了，趁娃还在念叨小奶宝，我先问店员还有没有活动
- 宝妈群里说最近有海底小纵队活动，我补货前先问问，省得白跑一趟
- 看完第3集娃总惦记奶宝，我周末去门店补货时顺便瞅瞅活动
- 闺蜜约我一起去问活动，家里正好要补货，就当顺路去瞅瞅
- 第3集看完娃还在演救援，我准备去店里问问活动还在不在
- 奶宝团聚那段我家反复看，补货前先问问店里这次还有没有

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。这个方向可以少讲剧情细节，但要有轻剧情锚点和妈妈侧到店动作；未到店可以问问、看看、怕跑空，已买4罐才写领到/拿到/带回。对讲机可用巴克队长款、艾尔博士款、定制对讲机、这套周边等说法轮换。"
业务规则-剧情讨论,"盲盒轻带&妈妈顺手问活动型：

像宝妈聊娃看完第3集后先被剧情带进去，妈妈补货前、路过门店或宝妈群聊天时顺手问活动；如果已经到店参加活动，则写领到/带回定制对讲机。盲盒是辅助入口，对讲机仍是重点福利之一；剧情和周边之间要有过渡，比如奶宝、帮妈妈找宝宝、山洞求援，不要写成孩子知道门店活动或主动要活动赠品，也不要写成买4罐送。

示例：
- 娃看完帮小奶宝找妈妈那集还在演剧情，我补货前先问问盲盒和对讲机还有没有
- 本来以为娃只是在担心奶宝，结果到店领到对讲机，刚好接上山洞求援那段
- 我家看完第3集还在演海底小纵队，我到店四罐一起带，把奶粉补上
- 娃看到奶宝和妈妈团聚才放心，我补货前顺便问问盲盒，感觉小朋友应该会喜欢
- 去店里把奶粉续上还领到这套对讲机，刚好贴山洞求援剧情
- 我家被山洞求援那段带进去，盲盒就去门店前顺口打听下，主要还是对讲机更贴剧情
- 盲盒我补货前顺手问，定制对讲机更像能陪他演剧情的东西

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。盲盒只轻带，不要盖过剧情讨论和对讲机；如果写到第3集结局，要写已找到或团聚，不要再写“找到没”。不要写成孩子知道店里有盲盒/对讲机活动；未到店可以问有没有、能不能领、怕跑空或先打听，已补货/买4罐则要写领到/加赠1套定制对讲机。款式事实可以用巴克队长&艾尔博士款、巴克队长款对讲机、艾尔博士款对讲机、定制对讲机等说法轮换，不要截断成对讲。"
业务规则-剧情讨论,"娃追剧情入口型：

像宝妈在评论区聊自家娃追《海底小纵队》第十一季第3集的状态，轻带帮小奶宝找妈妈、新西兰热带气旋、奶牛群转移、山洞求援这些剧情锚点。纯动画复盘少一点，可以顺手带一句妈妈发现家里奶粉快喝完、准备去门店看看活动；小蓝企鹅只当背景轻带，不要写成重点。

示例：
- 海底小纵队第3集我家已经陪看两遍了，补货前正好想去门店看看活动
- 这集一边是热带气旋一边找奶宝，我家看得紧张，周末想去门店问活动
- 你们娃看奶牛群转移会不会也一直问怎么办？我下班顺路去店里看看活动
- 山洞求援那段挺抓小朋友，我家还在学呼叫队友，我补货前先问店里还有没有
- 娃本来冲着海底小纵队看的，结果一直念叨奶宝，我后面才想起顺路看看门店
- 家里奶粉快喝完了，我后面才想起来顺路问问海底小纵队对讲机活动
- 我家看完帮小奶宝找妈妈那集，看到团聚才放心，我后面才想起来顺路补货

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。重点写娃追剧情和轻剧情锚点，但每条都要自然带到补货前问活动、顺路到店、怕跑空确认或领取周边。已看完第3集时不要继续问“找到没”，要写成找到了或团聚了。"
业务规则-剧情讨论,"娃童言童语&A2记忆型：

像宝妈复述娃听完艾尔博士讲A1/A2型奶牛后的童言童语，重点是娃记住艾尔博士、A1大怪兽、A2型蛋白质、奶宝是稀有A2型奶牛这些剧情知识点。可以写娃说得幼稚、妈妈觉得好玩，再由妈妈顺手带到补货前问活动、下班去门店或到店领周边；别写成营养科普，也别写成A2能打败大怪兽或确定健康功效。

示例：
- 娃问艾尔博士是不是专门研究A1和A2型奶牛的，我准备补货前顺路瞅瞅门店活动
- 你们娃有没有记住A1大怪兽？我家一直考我，家里快喝完正好去门店看看
- A2型蛋白质这个词挺长的吧？娃居然跟着念，我补货前想先问问店员
- 娃指着奶宝说它就是A2型奶牛，我准备下班去门店看下活动
- 艾尔博士一出场娃就来劲了，我去店里续奶粉时顺路瞅了眼活动
- 看完这集，娃问家里奶粉是不是也有A2，正好快喝完了，我准备去门店前顺便问问
- 我家现在喝奶前会问一句是不是A2，正好快喝完，我准备去门店问活动

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。这里把A2当剧情记忆点和选奶讨论入口，少写确定结论，每条仍要带妈妈侧门店活动引流。别额外引入未给到的专业词，也别把大怪兽和A2绑定；不要写战胜、打败这类功效化表达。奶宝本身就是稀有A2型奶牛，孩子可以认出或记住，不要写成强行判断。"
业务规则-剧情讨论,"艾尔博士讲解接话型：

像宝妈在评论区接着聊艾尔博士讲A1/A2型奶牛那段，重点写孩子被“博士讲知识点”吸引、追问A1和A2有什么不一样、记住A2型蛋白质和稀有A2型奶牛。每条都要轻带妈妈准备补货前留意门店活动、顺路到店或按活动领周边；别写成成人营养科普，也别把动画里的A1大怪兽写成真实功效对抗。

示例：
- 艾尔博士讲A1/A2型奶牛那段娃听进去了，我准备补货前先问门店还有没有
- 你们娃有没有被艾尔博士圈住？我家一直问A1和A2，我下班顺路去店里看看
- A2型蛋白质这个词挺绕，但娃记住了，我去门店续奶粉时也留意了活动
- 我家看到艾尔博士解释奶宝是稀有A2型奶牛，补货前还提醒我去问活动
- 本来以为娃只惦记找妈妈，结果艾尔博士那段也记牢了，我准备去门店看看
- 艾尔博士出来讲奶牛知识的时候，我家娃一脸认真，我准备补货前顺手问问周边
- A1大怪兽那块小朋友记得快，我补货前问活动时也提醒自己别讲成功效

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。这个方向优先放大艾尔博士和A1/A2型奶牛剧情知识点，A2只作为动画记忆和妈妈选奶入口，同时要带门店活动引流，不写确定健康功效、营养结论或医学化解释。"
业务规则-剧情讨论,"稀有A2型奶牛识别型：

像宝妈聊孩子看完第3集后记住“奶宝是稀有A2型奶牛”，会把找妈妈剧情和A2型奶牛身份连在一起讨论。重点写孩子认出奶宝、追问为什么稀有、拿家里奶粉做幼稚联想；每条都要由妈妈顺手说补货前问活动、去门店看A2相关信息，或到店参加活动领到定制对讲机，但别让孩子知道买4罐加赠周边或赠品。

示例：
- 我家看完一直说奶宝是A2型奶牛，我准备补货前去门店瞅瞅还有没有
- 奶宝设定挺抓小朋友，娃记住稀有A2型奶牛，我下班顺路去店里看看
- 娃看到奶宝和妈妈团聚后又补一句它是A2的，我顺手问了店里活动
- 你们娃会不会也问稀有是什么意思？我准备去门店续奶粉时问问A2活动
- 看完第3集，娃把奶宝、妈妈和A2型奶牛连起来了，我补货前先问店员还有没有活动
- 我准备补货前看到A2相关活动，才想起娃最近一直念叨奶宝是稀有A2型奶牛
- 奶宝这个A2身份我家娃居然记住了，我到店按活动带够四罐领到定制周边

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。可以让孩子识别或记住奶宝是稀有A2型奶牛，但不要写成孩子做专业判断；每条都要有妈妈侧门店活动引流，活动信息仍由妈妈准备补货前、路过门店、问店员或宝妈群知道；已补货/买4罐则写领到或带回。"
