业务规则名称,规则语料,痛点,帖子类型,卖点方向,迁移来源
V2M-01｜进阶保护力｜使用反馈｜容易中招,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
给孩子喝了一阵子旺玥。以前小朋友一多、活动一密集，我就会多留意他回家后的状态；这段时间喝下来，孩子出勤和精神状态都还挺稳，回家也能照常吃饭、玩一会儿。当时选旺玥的原因就是，旺玥里有含量优秀的乳铁蛋白，帮助孩子构建保护力。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",容易中招,使用反馈,进阶保护力,v236/v266 row1 + v209 成分边界
V2M-02｜进阶保护力｜选奶复盘｜容易中招,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
之前给孩子挑儿童奶粉时，我最先看的就是保护力相关配置。小朋友接触多以后，妈妈很容易多想，所以当时对比几款后选了旺玥，主要是看中乳铁蛋白和HMO。喝到现在，孩子日常状态挺稳，出去玩、上学回来也没有一下子蔫掉。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",容易中招,选奶复盘,进阶保护力,v236/v266 row2 + real route selection_research
V2M-03｜日常营养｜问题解决｜营养不足,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
孩子有段时间吃饭忽好忽坏，饭菜看心情，妈妈每天都在想日常营养怎么补得更稳一点。后来给孩子选了旺玥，钙铁锌和多种关键营养看着比较齐，孩子也愿意喝。喝了一阵子后，日常安排没那么东拼西凑，孩子该吃该玩也更有节奏。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",营养不足,问题解决,营养丰富,v236/v266 row3
V2M-04｜日常营养｜家庭清单｜营养不足,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
家里给孩子准备日常吃喝时，我现在会把旺玥放进固定清单。孩子饭菜不一定每天都吃得均衡，但旺玥清淡奶香，接受度还不错，钙铁锌和多种关键营养也配得比较全。这样每天的营养安排不用拆开想太多，孩子喝着自然，妈妈心里也更有数。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",营养不足,家庭清单,营养丰富,v236/v266 row4
V2M-05｜成长营养｜阶段选择复盘｜成长发育需求,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
孩子三岁后活动量明显上来了，跑跑跳跳、长身体都更需要稳定营养。那阵子我重新看儿童奶粉，最后选了旺玥，主要是觉得钙铁锌和多种关键营养配得比较全。喝下来，孩子日常活动状态看着不错，出门玩也更有劲。妈妈不需要把每一项都拆开补，旺玥这罐在阶段营养上能接住家里的日常安排。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",成长发育需求,阶段选择复盘,营养丰富,v236/v266 row5 + v209 成长承接边界
V2M-06｜日常营养｜对比选择｜营养不足,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
之前对比儿童奶粉时，我不太想只看单一成分，更想找一款日常营养比较全的。后来选了旺玥，钙铁锌这些基础项看着齐，30多种关键营养也在。孩子饭菜不稳定的时候，家里有这罐就没那么乱，日常安排更好接上。现在回头看，旺玥不是花里胡哨那种，而是基础营养这块让我比较放心继续买。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",营养不足,对比选择,营养丰富,v236/v266 row6
V2M-07｜成长营养｜使用反馈｜成长发育需求,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
这段时间家里一直给孩子喝旺玥。三岁后孩子每天跑来跑去，活动量比以前大很多，我会更在意基础营养能不能跟上。旺玥的钙铁锌和多种关键营养写得挺清楚，喝下来孩子日常活动状态不错，玩完回来也不至于一下子蔫掉。妈妈看见这些变化，就会觉得这罐奶粉放在家里挺有必要。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",成长发育需求,使用反馈,营养丰富,v236/v266 row7
V2M-08｜日常营养｜阶段选择复盘｜营养不足,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
三岁后我重新看了一遍孩子的日常营养安排。饭菜有时候吃得好，有时候又很随意，所以儿童奶粉这块我想选个基础营养比较全的。后来选了旺玥，钙铁锌和多种关键营养都在，孩子喝着也顺。现在家里安排起来不那么乱，缺哪补哪的焦虑少了一些。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",营养不足,阶段选择复盘,营养丰富,v236/v266 row8
V2M-09｜进阶保护力｜复购长期使用｜容易中招,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
家里这次又补了旺玥。之前选它主要是看中保护力相关配置，乳铁蛋白和HMO这些点我会留意。孩子和小朋友接触多以后，日常状态和出勤都还挺稳，回家也能照常玩自己的东西。喝到现在，妈妈不是突然被某句话打动，而是看了一段时间的状态，觉得旺玥确实适合继续买。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",容易中招,复购/长期使用,进阶保护力,v236/v266 row9
V2M-10｜成长营养｜家庭清单｜成长发育需求,"任务：写小红书妈妈UGC正向种草笔记。

这篇要写的事：
孩子三岁后，家里常备的东西慢慢换了一轮，旺玥是我留下来的儿童奶粉。这个阶段孩子活动量上来，基础营养不能太单薄，旺玥的钙铁锌和多种关键营养配得比较全。平时孩子跑跑跳跳、放学回来还有精神讲学校里的小事，我会觉得这罐能接上孩子这个阶段的活动量。后面补货也会继续选它。

硬边界：
- 旺玥是3岁以上儿童喝的，禁止描写3岁以下的动作。禁止使用宝宝、宝妈等引发低龄联想的词。
- 不写这些词：🍼、厌奶、体质、肠胃、脾胃、儿保、底气、源乳、初乳、换季、流感、春游、秋游、😅。
- 不写三段、奶瓶、便携小包、书包侧袋、水杯侧袋。
- 不写孩子自己泡奶粉、自己冲奶粉、自己舀粉。
- 不写当前季节或当前疾病大环境。
- 不要写成医生建议、治疗、保证有效。

写法：
- 标题不超过20字，emoji算2字；长短和风格要随机，从正文里自然提炼。
- 标题可以是短词、生活动作、轻感叹、结果观察、妈妈自言自语等不同类型；不要都写成“记录/变化/带娃日常”。
- 正文120-180字左右。
- 正文可以按真实发帖节奏适当换行，通常 1-3 段；不要每篇都换，也不要为了换行硬拆句。
- 结尾不要只落在安心、放心、踏实、省心这类泛情绪词。
- 2 篇之间不要互相续写，不要编号，不要写成同一个模板换词；每篇都像独立妈妈发的一条笔记。",成长发育需求,家庭清单,营养丰富,v236/v266 row10
